RL 1	Ad astra
RL 2	athe1
RL 3	athe2
RL 4	athe3
RL 5	Deutsch-Russisches Bündnis
RL 6 	Die Affen
RL 7	GHG_LINE
RL 8	NIEMAND
RL 9	p'tats
RL 10	Pegasus
RL 11	Roborwell
RL 12	RobΩhm
RL 13	Team Orwell
RL 14	tux 1
RL 15	Work in Pogress
RLE 1	Alpha Team
RLE 2	edgar1_1
RLE 3	EV12
RLE 4	HMS Rescue
RLE 5	MHS
RLE 6	Mika and the Robogirls
RLE 7	minions
RLE 8	NinaUndGreta
RLE 9	OhmBot-Bienen
RLE 10	robinator
RLE 11	Robotics Squad
RLE 12	Scorpion
RLE 13	Sedai Robo
RLE 14	Slimeys
RLE 15	Team4
RLE 16	the endgamer
